heading,hs_code,code_format,description,duty_rate
02.99,030245900000,03.02.45.90.00.00,,
02.99,030246000000,03.02.46.00.00.00,,
02.99,030247000000,03.02.47.00.00.00,,
02.99,030249100000,03.02.49.10.00.00,,
02.99,030249900000,03.02.49.90.00.00,,
02.91,030251000000,03.02.51.00.00.00,,
02.91,030252000000,03.02.52.00.00.00,,
02.91,030253000000,03.02.53.00.00.00,,
02.91,030254000000,03.02.54.00.00.00,,
02.91,030255000000,03.02.55.00.00.00,,
02.91,030259000000,03.02.59.00.00.00,,
02.91,030256000000,03.02.56.00.00.00,,
02.91,030271000000,03.02.71.00.00.00,,
02.91,030272000000,03.02.72.00.00.00,,
02.91,030273000000,03.02.73.00.00.00,,
02.91,030274000000,03.02.74.00.00.00,,
02.91,030279000000,03.02.79.00.00.00,,
02.91,030289100000,03.02.89.10.00.00,,
02.91,030289200000,03.02.89.20.00.00,,
02.91,030289300000,03.02.89.30.00.00,,
02.91,030289400000,03.02.89.40.00.00,,
02.91,030289500000,03.02.89.50.00.00,,
02.91,030289600000,03.02.89.60.00.00,,
02.91,030289700000,03.02.89.70.00.00,,
02.91,030289800000,03.02.89.80.00.00,,
02.91,030289900000,03.02.89.90.00.00,,
02.91,030281000000,03.02.81.00.00.00,,
02.91,030282000000,03.02.82.00.00.00,,
02.91,030283000000,03.02.83.00.00.00,,
02.91,030284000000,03.02.84.00.00.00,,
02.91,030285100000,03.02.85.10.00.00,,
02.91,030285200000,03.02.85.20.00.00,,
02.91,030285300000,03.02.85.30.00.00,,
02.91,030285400000,03.02.85.40.00.00,,
02.91,030285500000,03.02.85.50.00.00,,
02.91,030285600000,03.02.85.60.00.00,,
02.91,030285900000,03.02.85.90.00.00,,
02.91,030291000000,03.02.91.00.00.00,,
02.91,030292000000,03.02.92.00.00.00,,
02.91,030299000000,03.02.99.00.00.00,,
03.03,030311000000,03.03.11.00.00.00,,
03.03,030312000000,03.03.12.00.00.00,,
03.03,030313000000,03.03.13.00.00.00,,
03.03,030314000000,03.03.14.00.00.00,,
03.03,030319000000,03.03.19.00.00.00,,
03.91,030323000000,03.03.23.00.00.00,,
03.91,030324000000,03.03.24.00.00.00,,
03.91,030325000000,03.03.25.00.00.00,,
03.91,030326000000,03.03.26.00.00.00,,
03.91,030329000000,03.03.29.00.00.00,,
03.91,030331000000,03.03.31.00.00.00,,
03.91,030332000000,03.03.32.00.00.00,,
03.91,030333000000,03.03.33.00.00.00,,
03.91,030334000000,03.03.34.00.00.00,,
03.91,030339000000,03.03.39.00.00.00,,
03.91,030341000000,03.03.41.00.00.00,,
03.91,030342000000,03.03.42.00.00.00,,
03.91,030343000000,03.03.43.00.00.00,,
03.91,030344000000,03.03.44.00.00.00,,
03.91,030345000000,03.03.45.00.00.00,,
03.91,030346000000,03.03.46.00.00.00,,
03.91,030349100000,03.03.49.10.00.00,,
03.91,030349200000,03.03.49.20.00.00,,
03.91,030349300000,03.03.49.30.00.00,,
03.91,030349400000,03.03.49.40.00.00,,
03.91,030349500000,03.03.49.50.00.00,,
03.91,030349600000,03.03.49.60.00.00,,
03.91,030349900000,03.03.49.90.00.00,,
02.91,030351000000,03.03.51.00.00.00,,
02.91,030353000000,03.03.53.00.00.00,,
02.91,030354100000,03.03.54.10.00.00,,
02.91,030354200000,03.03.54.20.00.00,,
02.91,030354900000,03.03.54.90.00.00,,
02.91,030355100000,03.03.55.10.00.00,,
02.91,030355200000,03.03.55.20.00.00,,
02.91,030355900000,03.03.55.90.00.00,,
02.91,030356000000,03.03.56.00.00.00,,
02.91,030357000000,03.03.57.00.00.00,,
02.91,030359100000,03.03.59.10.00.00,,
02.91,030359900000,03.03.59.90.00.00,,
02.91,030363000000,03.03.63.00.00.00,,
02.91,030364000000,03.03.64.00.00.00,,
02.91,030365000000,03.03.65.00.00.00,,
02.91,030366000000,03.03.66.00.00.00,,
02.91,030367000000,03.03.67.00.00.00,,
02.91,030368000000,03.03.68.00.00.00,,
02.91,030369000000,03.03.69.00.00.00,,
03.91,030381000000,03.03.81.00.00.00,,
03.91,030382000000,03.03.82.00.00.00,,
03.91,030383000000,03.03.83.00.00.00,,
03.91,030384000000,03.03.84.00.00.00,,
03.91,030389100000,03.03.89.10.00.00,,
03.91,030389200000,03.03.89.20.00.00,,
03.91,030389300000,03.03.89.30.00.00,,
03.91,030389400000,03.03.89.40.00.00,,
03.91,030389510000,03.03.89.51.00.00,,
03.91,030389520000,03.03.89.52.00.00,,
03.91,030389600000,03.03.89.60.00.00,,
03.91,030389700000,03.03.89.70.00.00,,
03.91,030389800000,03.03.89.80.00.00,,
03.91,030389910001,03.03.89.91.00.01,,
03.91,030389910002,03.03.89.91.00.02,,
03.91,030389910003,03.03.89.91.00.03,,
03.91,030389910004,03.03.89.91.00.04,,
03.91,030389910005,03.03.89.91.00.05,,
03.91,030389910006,03.03.89.91.00.06,,
03.91,030389919999,03.03.89.91.99.99,,
03.91,030389990000,03.03.89.99.00.00,,
03.91,030391000000,03.03.91.00.00.00,,
03.91,030392000000,03.03.92.00.00.00,,
03.91,030399000000,03.03.99.00.00.00,,
03.04,030431000000,03.04.31.00.00.00,,
03.04,030432000000,03.04.32.00.00.00,,
03.04,030433000000,03.04.33.00.00.00,,
03.04,030439000000,03.04.39.00.00.00,,
03.04,030441000000,03.04.41.00.00.00,,
03.04,030442000000,03.04.42.00.00.00,,
03.04,030443000000,03.04.43.00.00.00,,
03.04,030444000000,03.04.44.00.00.00,,
03.04,030445000000,03.04.45.00.00.00,,
03.04,030446000000,03.04.46.00.00.00,,
03.04,030447000000,03.04.47.00.00.00,,
03.04,030448000000,03.04.48.00.00.00,,
03.04,030449000000,03.04.49.00.00.00,,
03.04,030451000000,03.04.51.00.00.00,,
03.04,030452000000,03.04.52.00.00.00,,
03.04,030453000000,03.04.53.00.00.00,,
03.04,030454000000,03.04.54.00.00.00,,
03.04,030455000000,03.04.55.00.00.00,,
03.04,030456000000,03.04.56.00.00.00,,
03.04,030457000000,03.04.57.00.00.00,,
03.04,030459100000,03.04.59.10.00.00,,
03.04,030459200000,03.04.59.20.00.00,,
03.04,030459900000,03.04.59.90.00.00,,
03.04,030461000000,03.04.61.00.00.00,,
03.04,030462000000,03.04.62.00.00.00,,
03.04,030463000000,03.04.63.00.00.00,,
03.04,030469000000,03.04.69.00.00.00,,
03.04,030471000000,03.04.71.00.00.00,,
03.04,030472000000,03.04.72.00.00.00,,
03.04,030473000000,03.04.73.00.00.00,,
03.04,030474000000,03.04.74.00.00.00,,
03.04,030475000000,03.04.75.00.00.00,,
03.04,030479000000,03.04.79.00.00.00,,
03.04,030481000000,03.04.81.00.00.00,,
03.04,030482000000,03.04.82.00.00.00,,
03.04,030483000000,03.04.83.00.00.00,,
03.04,030484000000,03.04.84.00.00.00,,
03.04,030485000000,03.04.85.00.00.00,,
03.04,030486000000,03.04.86.00.00.00,,
03.04,030487000000,03.04.87.00.00.00,,
03.04,030488000000,03.04.88.00.00.00,,
03.04,030489100000,03.04.89.10.00.00,,
03.04,030489200000,03.04.89.20.00.00,,
03.04,030489900000,03.04.89.90.00.00,,
03.04,030491000000,03.04.91.00.00.00,,
03.04,030492000000,03.04.92.00.00.00,,
03.04,030493000000,03.04.93.00.00.00,,
03.04,030494000000,03.04.94.00.00.00,,
03.04,030495000000,03.04.95.00.00.00,,
03.04,030496000000,03.04.96.00.00.00,,
03.04,030497000000,03.04.97.00.00.00,,
03.04,030499000000,03.04.99.00.00.00,,
03.05,030520000000,03.05.20.00.00.00,,
03.05,030531000000,03.05.31.00.00.00,,
03.05,030532000000,03.05.32.00.00.00,,
03.05,030539100000,03.05.39.10.00.00,,
03.05,030539900000,03.05.39.90.00.00,,
03.05,030541000000,03.05.41.00.00.00,,
03.05,030542000000,03.05.42.00.00.00,,
03.05,030543000000,03.05.43.00.00.00,,
03.05,030544000000,03.05.44.00.00.00,,
03.05,030549000000,03.05.49.00.00.00,,
03.05,030551000000,03.05.51.00.00.00,,
03.05,030552000000,03.05.52.00.00.00,,
03.05,030553000000,03.05.53.00.00.00,,
03.05,030554000000,03.05.54.00.00.00,,
03.05,030559300000,03.05.59.30.00.00,,
03.05,030559900000,03.05.59.90.00.00,,
03.05,030561000000,03.05.61.00.00.00,,
03.05,030562000000,03.05.62.00.00.00,,
03.05,030563000000,03.05.63.00.00.00,,
03.05,030564000000,03.05.64.00.00.00,,
03.05,030569000000,03.05.69.00.00.00,,
03.05,030572000000,03.05.72.00.00.00,,
03.05,030579000000,03.05.79.00.00.00,,
03.06,030611000000,03.06.11.00.00.00,,
03.06,030612000000,03.06.12.00.00.00,,
03.06,030614000000,03.06.14.00.00.00,,
03.06,030615000000,03.06.15.00.00.00,,
03.06,030616000000,03.06.16.00.00.00,,
03.06,030617000000,03.06.17.00.00.00,,
03.06,030619000000,03.06.19.00.00.00,,
03.06,030631000003,03.06.31.00.00.03,,
03.06,030631000004,03.06.31.00.00.04,,
03.06,030634000003,03.06.34.00.00.03,,
03.06,030634000004,03.06.34.00.00.04,,
03.06,030633000003,03.06.33.00.00.03,,
03.06,030633000004,03.06.33.00.00.04,,
03.06,030632000003,03.06.32.00.00.03,,
03.06,030632000004,03.06.32.00.00.04,,
03.06,030635000003,03.06.35.00.00.03,,
03.06,030635000004,03.06.35.00.00.04,,
03.06,030636000003,03.06.36.00.00.03,,
03.06,030636000004,03.06.36.00.00.04,,
03.06,030639000000,03.06.39.00.00.00,,
03.06,030691000000,03.06.91.00.00.00,,
03.06,030692000000,03.06.92.00.00.00,,
03.06,030693000000,03.06.93.00.00.00,,
03.06,030694000000,03.06.94.00.00.00,,
03.06,030695000000,03.06.95.00.00.00,,
03.06,030699000000,03.06.99.00.00.00,,
03.07,030711000001,03.07.11.00.00.01,,
03.07,030711000002,03.07.11.00.00.02,,
03.07,030712000000,03.07.12.00.00.00,,
03.07,030719000000,03.07.19.00.00.00,,
03.07,030721000001,03.07.21.00.00.01,,
03.07,030721000002,03.07.21.00.00.02,,
03.07,030722000000,03.07.22.00.00.00,,
03.07,030729000000,03.07.29.00.00.00,,
03.07,030731000001,03.07.31.00.00.01,,
03.07,030731000002,03.07.31.00.00.02,,
03.07,030732000000,03.07.32.00.00.00,,
03.07,030739000000,03.07.39.00.00.00,,
03.07,030742000001,03.07.42.00.00.01,,
03.07,030742000002,03.07.42.00.00.02,,
03.07,030743000000,03.07.43.00.00.00,,
03.07,030749000000,03.07.49.00.00.00,,
03.07,030751000001,03.07.51.00.00.01,,
03.07,030751000002,03.07.51.00.00.02,,
03.07,030752000000,03.07.52.00.00.00,,
03.07,030759000000,03.07.59.00.00.00,,
03.07,030760000001,03.07.60.00.00.01,,
03.07,030760000002,03.07.60.00.00.02,,
03.07,030760000003,03.07.60.00.00.03,,
03.07,030760009999,03.07.60.00.99.99,,
03.07,030771000001,03.07.71.00.00.01,,
03.07,030771000014,03.07.71.00.00.14,,
03.07,030771000041,03.07.71.00.00.41,,
03.07,030771000053,03.07.71.00.00.53,,
03.07,030772000000,03.07.72.00.00.00,,
03.07,030779000000,03.07.79.00.00.00,,
03.07,030781000001,03.07.81.00.00.01,,
03.07,030781000002,03.07.81.00.00.02,,
03.07,030782000001,03.07.82.00.00.01,,
03.07,030782000002,03.07.82.00.00.02,,
03.07,030783000000,03.07.83.00.00.00,,
03.07,030784000000,03.07.84.00.00.00,,
03.07,030787000000,03.07.87.00.00.00,,
03.07,030788000000,03.07.88.00.00.00,,
03.07,030791000003,03.07.91.00.00.03,,
03.07,030791000004,03.07.91.00.00.04,,
03.07,030792000000,03.07.92.00.00.00,,
03.07,030799000000,03.07.99.00.00.00,,
05.90,030811000002,03.08.11.00.00.02,,
05.90,030811000003,03.08.11.00.00.03,,
05.90,030812000000,03.08.12.00.00.00,,
