hs_code,code_format,description,duty_rate,efta,sg,usa,chapter,heading
020760200001,02.07.60.20.00.01, . طازجة أو مبردة أو مجمدة،لحوم وأحشاء وأطراف أخر صالحة لألكل,,,,,2,02.07
020760200002,02.07.60.20.00.02, . طازجة أو مبردة أو مجمدة،لحوم وأحشاء وأطراف أخر صالحة لألكل : من أرانب أو أرانب برية طازجة أو مبردة- - مجمدة- - : من حيوانات رئيسةمن حيوانات رئيسية طازجة,,,,,2,02.07
020810100000,02.08.10.10.00.00,,,,,,2,02.08
020810200000,02.08.10.20.00.00,,,,,,2,02.08
020830000001,02.08.30.00.00.01,,,,,,2,02.08
020830000002,02.08.30.00.00.02, B,,,,,2,02.08
020830000003,02.08.30.00.00.03, B,,,,,2,02.08
020840100000,02.08.40.10.00.00, B,,,,,2,02.08
020840200000,02.08.40.20.00.00, B,,,,,2,02.08
020840300000,02.08.40.30.00.00, B,,,,,2,02.08
020840400000,02.08.40.40.00.00, B,,,,,2,02.08
020850000000,02.08.50.00.00.00, - Of camels and other camelids (Camelidae): A,,,,,2,02.08
020860100001,02.08.60.10.00.01,,,,,,2,02.08
020860100002,02.08.60.10.00.02,,,,,,2,02.08
020860100010,02.08.60.10.00.10,,,,,,2,02.08
020860109999,02.08.60.10.99.99,,,,,,2,02.08
020860200001,02.08.60.20.00.01,,,,,,2,02.08
020860200002,02.08.60.20.00.02,,,,,,2,02.08
020860200010,02.08.60.20.00.10,,,,,,2,02.08
020860209999,02.08.60.20.99.99,,,,,,2,02.08
020890210001,02.08.90.21.00.01,,,,,,2,02.08
020890210002,02.08.90.21.00.02,,,,,,2,02.08
020890220001,02.08.90.22.00.01, أرطالن، قطا، شنقب، دجاج األرض،) الفري (سمان، تدرج، حجل، حمام بري- - :وبط بري,,,,,2,02.08
020890220002,02.08.90.22.00.02, أرطالن، قطا، شنقب، دجاج األرض،) الفري (سمان، تدرج، حجل، حمام بري- - :وبط بري طازجة أو مبردة- - - مجمدة- - - : غيرها- - أفخاذ ضفادع- - - غيرها- - - -,,,,,2,02.08
020890310000,02.08.90.31.00.00,,,,,,2,02.08
020890320000,02.08.90.32.00.00,,,,,,2,02.08
020890910000,02.08.90.91.00.00, غير مستخلص باإلذابة أو بطرق،شحم خنزير صرف وشحم طيور دواجن,,,,,2,02.08
020890990000,02.08.90.99.00.00, غير مستخلص باإلذابة أو بطرق،شحم خنزير صرف وشحم طيور دواجن ً طازجا ً أو مبردا ً أو مجمدا ً أو مملحا ً أو في ماء مملح أو مجففا،االستخالص األخرى,,,,,2,02.08
020910000000,02.09.10.00.00.00, مجففة أو مدخنة؛، مملحة أو في ماء مملح،لحوم وأحشاء وأطراف صالحة لألكل,,,,,2,02.09
020990000000,02.09.90.00.00.00, مجففة أو مدخنة؛، مملحة أو في ماء مملح،لحوم وأحشاء وأطراف صالحة لألكل . من لحوم أو أحشاء أو أطراف،دقيق وسميد صالحة لألكل,,,,,2,02.09
021011000000,02.10.11.00.00.00, - - Bellies (streaky) and cuts thereof - - Other,,,,,2,02.10
021012000000,02.10.12.00.00.00,,,,,,3,02.10
021019000000,02.10.19.00.00.00, X,,,,,3,02.10
021020000000,02.10.20.00.00.00, X,,,,,3,02.10
021091000000,02.10.91.00.00.00, من حيتان ودالفين وخنازير بحرية ( ثدييات من رتبة الحيتان)؛ خراف بحر- وأطومات (ثدييات من رتبة الخيالنيات)؛ من عجول بحر وفقمات وفظ (ثدييات من )الرتبة الفرعية لزعنفيات األقدام,,,,,5,16.04
021092000000,02.10.92.00.00.00, ) من زواحف (بما فيها الثعابين والسالحف- 02 10 93 00 00 00 غيرها- 02 10 99 00 00 00,,,,,5,16.04
030111000000,03.01.11.00.00.00,,,,,,5,03.01
030119000000,03.01.19.00.00.00,,,,,,5,03.01
030191000000,03.01.91.00.00.00,,,,,,5,03.01
030192000000,03.01.92.00.00.00,,,,,,5,03.01
030193000000,03.01.93.00.00.00,,,,,,5,03.01
030194000000,03.01.94.00.00.00, أسماك حية. أسماك زينة: -من مياه عذبة -غيرها أسماك حية أخر: -أسماك السلمون المرقط (تروتا) ( سالموتروتا ،أنكور هينكوس ميكيس ،أنكورهينكوس كالركي ،أنكور هينكوس أجوابونيتا ،أنكور هينكوس جيالي أنكور هينكوس,,,,,5,03.01
030211000000,03.02.11.00.00.00, -أسماك السلمون المرقط (تروتا) ( سالموتروتا ،أنكور هينكوس ميكيس ،أنكورهينكوس كالركي ،أنكور هينكوس أجوابونيتا ،أنكور هينكوس جيالي ،أنكور هينكوس أباشي ،أنكور هينكوس كريزوجاستر),,,,,5,03.09
030213000000,03.02.13.00.00.00, -أسماك سلمون المحيط الهادي ( أنكور هينكوس نركا ،أنكور هينكوس غوربشا،أنكور هينكوس كيتا ،أنكور هينكوس تشاوتيشا ،أنكور هينكوس كيسوتش ،أنكور هينكوس ماسو ،أنكور هينكوس رودورس) .,,,,,5,03.09
030214000000,03.02.14.00.00.00, -أسماك سلمون المحيط األطلسي (سالموساالر) وأسماك سلمون الدانواب(هوكوهوكو) .,,,,,5,03.02
